"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"45521",18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA,"France"
"45522",18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA,"France"
"45523",18285,3,Inf,0.666666666666667,1,NA,NA,7,0.01,NA,NA,"France"
"45524",18286,4,0.0661701318269987,0.75,1,NA,NA,7,0.01,NA,NA,"France"
"45525",18287,5,-0.0934829312824337,0.6,0,NA,NA,7,0.01,NA,NA,"France"
"45526",18288,6,-0.0993036875932083,0.5,0,NA,NA,7,0.01,NA,NA,"France"
"45527",18289,7,-0.0711694999608963,0.571428571428571,0,NA,NA,7,0.01,NA,NA,"France"
"45528",18290,8,-0.182652200572297,0.714285714285714,0,NA,NA,7,0.01,NA,NA,"France"
"45529",18291,9,-0.64272047857631,0.714285714285714,0,NA,NA,7,0.01,NA,NA,"France"
"45530",18292,10,0.332135782756534,0.428571428571429,0,NA,NA,7,0.01,NA,NA,"France"
"45531",18293,11,-0.00373646841511494,0.428571428571429,0,NA,NA,7,0.01,NA,NA,"France"
"45532",18294,12,0.0734545212622828,0.428571428571429,0,NA,NA,7,0.01,NA,NA,"France"
"45533",18295,13,0.0494995356656044,0.428571428571429,0,NA,NA,7,0.01,NA,NA,"France"
"45534",18296,14,0.192079121358539,0.285714285714286,0,NA,NA,7,0.01,NA,NA,"France"
"45535",18297,15,0.0715167512214395,0.142857142857143,0,NA,1,7,0.01,0,1,"France"
"45536",18298,16,-0.217118638741187,0.142857142857143,0,NA,1,7,0.01,0,1,"France"
"45537",18299,17,0.0513149660756936,0.142857142857143,0,NA,1,7,0.01,0,1,"France"
"45538",18300,18,0.496026483086191,0.714285714285714,1,NA,1,7,0.01,0,1,"France"
"45539",18301,19,0.211645619140753,0.714285714285714,1,NA,1,7,0.01,0,1,"France"
"45540",18302,20,0.122884484360431,0.714285714285714,1,NA,1,7,0.01,0,1,"France"
"45541",18303,21,0.0504514628777805,0.714285714285714,1,NA,1,7,0.01,0,1,"France"
"45542",18304,22,-0.0871290708247231,0.714285714285714,0,NA,0.933333333333333,7,0.01,0,1,"France"
"45543",18305,23,-0.225403330758517,0.714285714285714,0,NA,0.875,7,0.01,0,1,"France"
"45544",18306,24,-1,0.714285714285714,0,NA,0.823529411764706,7,0.01,0,1,"France"
"45545",18307,25,Inf,0.142857142857143,0,1,0.823529411764706,7,0.01,0.25,1,"France"
"45546",18308,26,0.290994448735805,0.142857142857143,0,1,0.823529411764706,7,0.01,0.4,1,"France"
"45547",18309,27,0.0954451150103322,0.142857142857143,0,1,0.833333333333333,7,0.13,0.4,1,"France"
"45548",18310,28,0,0.142857142857143,0,1,0.842105263157895,7,0.13,0.4,1,"France"
