"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"56902",18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA,"India"
"56903",18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA,"India"
"56904",18285,3,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56905",18286,4,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56906",18287,5,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56907",18288,6,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56908",18289,7,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56909",18290,8,0,0,0,NA,NA,7,0.01,NA,NA,"India"
"56910",18291,9,Inf,0.142857142857143,1,NA,NA,7,0.01,NA,NA,"India"
"56911",18292,10,0.290994448735806,0.142857142857143,1,NA,NA,7,0.01,NA,NA,"India"
"56912",18293,11,0.0954451150103322,0.142857142857143,1,NA,NA,7,0.01,NA,NA,"India"
"56913",18294,12,0.414213562373095,0.285714285714286,1,NA,NA,7,0.01,NA,NA,"India"
"56914",18295,13,0.414213562373095,0.428571428571429,1,NA,NA,7,0.01,NA,NA,"India"
"56915",18296,14,0.0606601717798213,0.428571428571429,1,NA,NA,7,0.01,NA,NA,"India"
"56916",18297,15,-0.118082896311803,0.428571428571429,0,0,0,7,0.01,0,0,"India"
"56917",18298,16,-0.100264589157563,0.285714285714286,0,0.142857142857143,0,7,0.01,0.333333333333333,0,"India"
"56918",18299,17,-0.159831949583194,0.285714285714286,0,0.25,0,7,0.01,0.5,0,"India"
"56919",18300,18,-0.292893218813452,0.285714285714286,0,0.333333333333333,0,7,0.01,0.6,0,"India"
"56920",18301,19,0.414213562373095,0.142857142857143,0,0.4,0,7,0.01,0.666666666666667,0,"India"
"56921",18302,20,0.414213562373095,0,0,0.454545454545455,0,7,0.01,0.714285714285714,0,"India"
"56922",18303,21,0.0606601717798213,0,0,1,0.777777777777778,7,0.07,0.714285714285714,1,"India"
"56923",18304,22,-0.118082896311803,0,0,1,0.8,7,0.07,0.714285714285714,1,"India"
"56924",18305,23,-0.0488102687886581,0,0,1,0.818181818181818,7,0.07,0.714285714285714,1,"India"
"56925",18306,24,-0.172829808131489,0,0,1,0.833333333333333,7,0.07,0.714285714285714,1,"India"
"56926",18307,25,-0.519615538584739,0,0,1,0.846153846153846,7,0.07,0.714285714285714,1,"India"
"56927",18308,26,-1,0,0,1,0.857142857142857,7,0.07,0.714285714285714,1,"India"
"56928",18309,27,0,0,0,1,0.866666666666667,7,0.07,0.714285714285714,1,"India"
"56929",18310,28,0,0,0,1,0.875,7,0.07,0.714285714285714,1,"India"
"56930",18311,29,0,0,0,1,0.882352941176471,7,0.07,0.714285714285714,1,"India"
"56931",18312,30,0,0,0,1,0.888888888888889,7,0.07,0.714285714285714,1,"India"
"56932",18313,31,0,0,0,1,0.894736842105263,7,0.07,0.714285714285714,1,"India"
"56933",18314,32,0,0,0,1,0.9,7,0.07,0.714285714285714,1,"India"
"56934",18315,33,0,0,0,1,0.857142857142857,7,0.07,0.625,1,"India"
"56935",18316,34,0,0,0,1,0.818181818181818,7,0.07,0.555555555555556,1,"India"
"56936",18317,35,0,0,0,1,0.782608695652174,7,0.07,0.5,1,"India"
"56937",18318,36,0,0,0,1,0.75,7,0.07,0.454545454545455,1,"India"
"56938",18319,37,0,0,0,1,0.72,7,0.07,0.416666666666667,1,"India"
"56939",18320,38,0,0,0,1,0.692307692307692,7,0.07,0.384615384615385,1,"India"
"56940",18321,39,0,0,0,1,0.666666666666667,7,0.07,0.357142857142857,1,"India"
"56941",18322,40,0,0,0,1,0.642857142857143,7,0.07,0.333333333333333,1,"India"
"56942",18323,41,Inf,0.285714285714286,1,1,0.620689655172414,7,0.07,0.3125,1,"India"
"56943",18324,42,0.290994448735806,0.285714285714286,1,1,0.6,7,0.07,0.294117647058824,1,"India"
"56944",18325,43,8.47364766074821,3.57142857142857,1,1,0.580645161290323,7,0.07,0.277777777777778,1,"India"
"56945",18326,44,0.334980412571608,3.85714285714286,1,1,0.5625,7,0.07,0.263157894736842,1,"India"
"56946",18327,45,0.115829998894662,4,1,1,0.545454545454545,7,0.07,0.25,1,"India"
"56947",18328,46,0.034431101009937,4.42857142857143,0,1,0.529411764705882,7,0.07,0.238095238095238,1,"India"
"56948",18329,47,-0.0300140054323268,5.14285714285714,0,1,0.514285714285714,7,0.07,0.227272727272727,1,"India"
"56949",18330,48,-0.139970423288853,5.42857142857143,0,1,0.514285714285714,7,0.07,0.260869565217391,1,"India"
"56950",18331,49,-0.24470848469278,7.28571428571429,0,1,0.514285714285714,7,0.07,0.291666666666667,1,"India"
"56951",18332,50,-0.0949315295679487,4.85714285714286,0,1,0.514285714285714,7,0.07,0.32,1,"India"
"56952",18333,51,-0.0472944276178986,6.14285714285714,0,1,0.514285714285714,7,0.07,0.346153846153846,1,"India"
"56953",18334,52,0.0359208249112945,7.28571428571429,0,1,0.514285714285714,7,0.07,0.37037037037037,1,"India"
"56954",18335,53,0.485235983245062,9.71428571428571,1,1,0.5,7,0.07,0.357142857142857,1,"India"
"56955",18336,54,0.254675607392242,10.5714285714286,1,1,0.486486486486487,7,0.07,0.344827586206897,1,"India"
