"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"120686",18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA,"South Africa"
"120687",18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA,"South Africa"
"120688",18285,3,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120689",18286,4,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120690",18287,5,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120691",18288,6,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120692",18289,7,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120693",18290,8,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120694",18291,9,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120695",18292,10,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120696",18293,11,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120697",18294,12,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120698",18295,13,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120699",18296,14,0,0,0,NA,NA,7,0.01,NA,NA,"South Africa"
"120700",18297,15,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120701",18298,16,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120702",18299,17,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120703",18300,18,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120704",18301,19,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120705",18302,20,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120706",18303,21,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120707",18304,22,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120708",18305,23,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120709",18306,24,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120710",18307,25,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120711",18308,26,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120712",18309,27,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120713",18310,28,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120714",18311,29,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120715",18312,30,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120716",18313,31,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120717",18314,32,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120718",18315,33,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120719",18316,34,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120720",18317,35,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120721",18318,36,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120722",18319,37,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120723",18320,38,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120724",18321,39,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120725",18322,40,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120726",18323,41,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120727",18324,42,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120728",18325,43,0,0,0,0,0,7,0.01,0,0,"South Africa"
"120729",18326,44,Inf,0.142857142857143,1,0,0,7,0.01,0,0,"South Africa"
"120730",18327,45,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0,"South Africa"
"120731",18328,46,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0,"South Africa"
"120732",18329,47,1,0.428571428571429,1,0,0,7,0.01,0,0,"South Africa"
"120733",18330,48,0.172603939955857,0.428571428571429,1,0,0,7,0.01,0,0,"South Africa"
"120734",18331,49,0.882937743382544,1,1,0,0,7,0.01,0,0,"South Africa"
"120735",18332,50,0.885618083164127,1.85714285714286,1,0,0,7,0.01,0,0,"South Africa"
"120736",18333,51,0.352526126578309,2.28571428571429,1,0.142857142857143,0,7,0.01,0.0263157894736842,0,"South Africa"
"120737",18334,52,0.355865245902406,3.28571428571429,1,0.25,0,7,0.01,0.0512820512820513,0,"South Africa"
"120738",18335,53,0.503629157510805,5.28571428571429,1,0.333333333333333,0,7,0.01,0.075,0,"South Africa"
"120739",18336,54,0.329758618294163,6.85714285714286,1,0.4,0,7,0.01,0.0975609756097561,0,"South Africa"
"120740",18337,55,0.191858069180781,8.42857142857143,1,0.454545454545455,0,7,0.01,0.119047619047619,0,"South Africa"
"120741",18338,56,-0.0306782554639252,7.85714285714286,0,0.5,0,7,0.01,0.13953488372093,0,"South Africa"
"120742",18339,57,0.52518486795757,14.7142857142857,1,0.538461538461538,0,7,0.01,0.159090909090909,0,"South Africa"
"120743",18340,58,0.349814162167143,19,1,0.571428571428571,0,7,0.01,0.177777777777778,0,"South Africa"
"120744",18341,59,0.350198082518768,25.4285714285714,1,0.6,0,7,0.01,0.195652173913043,0,"South Africa"
"120745",18342,60,0.184632027298456,28.8571428571429,1,0.625,0,7,0.01,0.212765957446809,0,"South Africa"
"120746",18343,61,0.086022581914641,31.8571428571429,1,0.647058823529412,0,7,0.01,0.229166666666667,0,"South Africa"
"120747",18344,62,0.375441469410047,48.5714285714286,1,0.666666666666667,0,7,0.01,0.244897959183673,0,"South Africa"
"120748",18345,63,0.462472318904336,70.2857142857143,1,0.68421052631579,0,9,0.01,0.26,0,"South Africa"
"120749",18346,64,0.285092493284153,84.7142857142857,1,0.7,0,9,0.01,0.274509803921569,0,"South Africa"
"120750",18347,65,0.281956675310169,111,1,0.714285714285714,0,9,0.01,0.288461538461538,0,"South Africa"
"120751",18348,66,0.262287517189965,138.285714285714,1,0.727272727272727,0,9,0.01,0.30188679245283,0,"South Africa"
"120752",18349,67,0.0688387181617067,135.285714285714,1,0.739130434782609,0,9,0.01,0.314814814814815,0,"South Africa"
"120753",18350,68,0.0222393876820687,143.714285714286,1,0.75,0,9,0.01,0.327272727272727,0,"South Africa"
"120754",18351,69,-0.0850573032263422,132,0,0.76,0,9,0.01,0.339285714285714,0,"South Africa"
"120755",18352,70,-0.2007188718883,114.142857142857,0,0.769230769230769,0,9,0.01,0.350877192982456,0,"South Africa"
"120756",18353,71,-0.23075997402567,95.8571428571429,0,0.777777777777778,0,9,0.01,0.362068965517241,0,"South Africa"
"120757",18354,72,-0.0480645487767947,76.4285714285714,0,0.785714285714286,0,9,0.01,0.372881355932203,0,"South Africa"
"120758",18355,73,0.304863542833835,47.8571428571429,0,0.793103448275862,0,9,0.01,0.383333333333333,0,"South Africa"
"120759",18356,74,0.0497389171891708,56.8571428571429,0,1,0.155555555555556,7,0.02,0.366666666666667,1,"South Africa"
"120760",18357,75,-0.115496707923504,53.5714285714286,0,1,0.173913043478261,7,0.02,0.366666666666667,1,"South Africa"
"120761",18358,76,-0.213900084080926,51.4285714285714,0,1,0.191489361702128,7,0.02,0.366666666666667,1,"South Africa"
"120762",18359,77,-0.325151310397827,56.5714285714286,0,1,0.208333333333333,7,0.02,0.366666666666667,1,"South Africa"
"120763",18360,78,-0.431661654599751,66.4285714285714,0,1,0.224489795918367,7,0.02,0.366666666666667,1,"South Africa"
"120764",18361,79,-0.251401233680483,67.4285714285714,0,1,0.24,7,0.02,0.366666666666667,1,"South Africa"
"120765",18362,80,0.0472756956079897,71.1428571428571,1,1,0.254901960784314,7,0.02,0.366666666666667,1,"South Africa"
"120766",18363,81,-0.0160003707920643,63.2857142857143,0,1,0.269230769230769,7,0.02,0.366666666666667,1,"South Africa"
"120767",18364,82,0.0531053304415495,74,1,1,0.283018867924528,7,0.02,0.366666666666667,1,"South Africa"
